,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,13 Days,DAYS,Bridge Of Sighs,sigh,Day Dreaming,dadr,Get Up (I Feel Like Being a) Sex Machine,sexm,In the Flesh?,fles,"Luckenbach, Texas (Back to the Basics of Love)",lckn,Passing,PASS,Scenes from an Italian Restaurant,scen,The Chicken,chic,Water,WATR
12,1348,1348,Bridgeless,BRDG,Day Nurse,DAYN,Ghostbusters,ghst,In the Hall of the Mountain King,mtkg,M.C. Escher,mce,Pathetique,path,Se A Cabo,cabo,The Crooked One,CRO1,We're Going to War,wgtw
13,1901 Jump,1901,"Bright Lights, Big City",blbc,Dazzey Duks,dazz,Gin and Juice,gin,Infernal Dance of All Kastchei's Subjects,idks,Machine Gun,gun,Patience,pati,Search 4,SRCH,The Emperor,empe,Weapons of Mass Destruction,womd
14,1999,1999,Bron-Y-Aur Stomp,stom,"De Do Do Do, De Da Da Da",deda,Girlfriend is Better,gfib,Instant Karma!,karm,Mad Love,MAD,Pay the Snucka,SNUC,Seasons,SEAS,The Empire State,EMPI,Web Tangle,TANG
15,25 or 6 to 4,2564,Bron-Yr-Aur,bya,DeWayne,DEWA,Give It To Mama Jama,maja,Intentions Clear,ICLR,Made to Measure,MADE,Pearl Necklace,nckl,Second Song,2nds,The End,end,Weed Rap,WEED
16,2nd Self,SELF,Brown Eyed Girl,bgrl,Dear Doctor,ddoc,Glide,glid,Interstate Love Song,isls,Mail Package,MAIL,Peg,peg,Seek and Destroy,seek,The Final Teen Spirit,fina,Weekapaug Groove,wkgr
17,2x2,2X2,Bubblehouse,bubh,Dear Lord,DLRD,Glory,GLOR,Intro,INTR,Make It Right,MIR,Peter Gunn / Every Breath You Take,pgun,Seven Bridges Road,7bri,The Floor,FLOR,Weird Fishes/Arpeggi,arpe
18,316,316,Bubbles,bubb,Dear Prudence,dpru,Go to Hell,HELL,Irish Jig,IJIG,Make Me,make,Phil's 7 Nation Money Farm,7nfm,Sex Farm,sexf,The Fussy Dutchman,FUSS,"Well, You Needn't",well
19,40's Theme,40s,Bullhead City,BULL,Debra,debr,Gobbler's Knob,KNOB,It Doesn't Matter,MATR,Making Flippy Floppy,flip,Phil's Farm,FARM,Señor Mouse,srms,The Fuzz,FUZZ,Wellwishers,WELL
20,50 Ways to Leave Your Lover,fwll,Bulls on the Bus,bull,Dee,dee,God Gave Rock 'n' Roll To You II,god2,It's About That Time,iatt,Mama I'm Coming Home,mich,Philosophy,phls,Sgt. Pepper's Lonely Hearts Club Band (Reprise),sgtp,The Girl Is Mine,tgim,Werewolves of London,wrwl
21,5:15,515,Bullshit Anthem,bula,Deeper,DEEP,Goin' Down Slow,slow,It's All Right,ialr,Mamu,MAMU,Physical,phys,She Came In Through The Bathroom Window,bthr,The Good Times Are Killing Me,gtkm,What Is and What Should Never Be,wsnb
22,9:30,930,Burnin' and Lootin',loot,Demolition Man,dmlt,Going to California,cali,It's Gonna Be A Long Night,gbln,Maneater,mntr,Piano Sonata #16 in C Major,n16,She Caught the Katy,katy,The Great Gig in the Sky,ggis,What We Could Get,WWCG
23,A Fifth of Beethoven,5ofb,Burnin' for You,burn,Den,DEN,Golden Slumbers,slmb,It's Not Impossible,ntim,Mantis,MANT,Pick Up the Pieces,piec,She's Nineteen Years Old,19yo,The Grobe,grob,What You Need,wyn
24,A Go Go,gogo,Burning Down the House,bdth,Depth Charge,CHAR,Golden Years,goly,It's So Easy,itey,Mantis Ghetts,GHET,Pick Your Nose,NOSE,Shhh / Peaceful,shhh,The Haunt,HAUN,What's Going On,goin
25,A Half Sleep,half,Bus Call,BUS,Der Bluten Kat,DBK,Gone for Good,GOOD,It's the End of the World as We Know It (And I Feel Fine),eofw,Maple Leaf Rag,leaf,Pipeline,ppln,Shine On You Crazy Diamond,syd,The Joker,joke,When Doves Cry,dove
26,A Love Supreme,supr,Bust a Move,bust,Detroit Rock City,drc,Good Morning Good Morning,gmgm,JaJunk,JUNK,March of the S.O.D.,sod,Piranhas,PIRA,Shotgun,shot,The Linear,LINE,When the Levee Breaks,leve
27,A Mild Sedative,MILD,Call to Arms,arms,Dick in a Box,dick,Good Ol' Boys,boys,Jam,JAM,Marquee Moon,marq,Play This,play,Show Biz Kids,biz,The Message,mess,When the World Is Running Down You Make the Best of What's Still Around,wwrn
28,AC/DC Medley,acdc,Can't Find My Way Home,fmwh,Dig A Pony,pony,Good Times Bad Times,gtbt,Jam - Get Weird,JWG,Masoko Tanga,tang,Plunger,PLUN,Showdown,shwd,The National Anthem,ntan,Where Is My Mind?,mind
29,Abacab,abcb,Can't Rock My Dream Face,crdf,Digital Buddha,dbud,Goodbye Blue Sky,bsky,Jam w/ OM Trio,OM3,Maybe Someday,SOME,Plush,plus,"Signed, Sealed, Delivered I'm Yours",seal,The Night They Drove Old Dixie Down,dixi,Whistle Kids,WHIS
30,Ace of Long Nights,ace,Can't Stand Losing You,csly,Dim Sun,SUN,Goonville,GNVL,Jamaica Farewell,jafw,Mean Mr. Mustard,must,Polythene Pam,plyt,Silver Machine,mach,The Other Side of Things,SIDE,White Man's Moccasins,MANS
31,Addicted to Kiss,kiss,Can't Take My Eyes Off Of You,cteo,Dio,dio,Got Me Wrong,wron,Jamiroquai #7,JAM7,Mediterranean Sundance,sndn,PonchEstrada,PONC,Similar Skin,SKIN,The Payback,payb,White Pickle,PICK
