primary_key,date,title,venue,city,state,country,vip,support,notes,tags,set_ct,song_ct
05-02-2008-New_Orleans-3-16,05-02-2008,"House of Blues, New Orleans, LA, USA",House of Blues,New Orleans,LA,USA,False,,"['Late night show. During the jam after Bridgeless, the band began to play a funk groove after the man dressed as Tony Clifton invited two female dancers on stage; after the three people left the stage, another woman came out and did a brief strip tease before Wade came and carried her offstage.']","{1: 'with One (Metallica) teases', 2: ""someone dressed as Andy Kaufman's Tony Clifton character came on stage and started ranting into the mic"", 3: 'with The Triple Wide teases'}",3,16
05-03-2008-New_Orleans-2-13,05-03-2008,"House of Blues, New Orleans, LA, USA",House of Blues,New Orleans,LA,USA,False,,['Late night show'],"{1: 'with Home (The New Deal) jam', 2: ""with Kris solo while Ryan's amp was replaced""}",2,13
05-04-2008-Memphis-1-8,05-04-2008,"The Beale Street Music Festival, Memphis, TN, USA",The Beale Street Music Festival,Memphis,TN,USA,False,,['Budweiser Stage'],"{1: 'with Glide (The New Deal) tease', 2: 'with Billie Jean (Michael Jackson) tease', 3: 'with Cody Dickinson on washboard'}",1,8
05-23-2008-Chillicothe-3-15,05-23-2008,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,False,,,"{1: 'with The Jetsons theme (Hoyt Curtin) tease', 2: 'with Kimble tease', 3: 'unfinished'}",3,15
05-24-2008-Chillicothe-1-7,05-24-2008,"""Summer Camp Music Festival"" Three Sisters Park, Chillicothe, IL, USA","""Summer Camp Music Festival"" Three Sisters Park",Chillicothe,IL,USA,False,,['Moonshine Stage'],"{1: 'unfinished', 2: 'with Mike Rackey on pedal steel and George Jones on percussion with Andy', 3: 'debut, original'}",1,7
05-30-2008-Hunter-1-9,05-30-2008,"""Mountain Jam"" Hunter Mountain, Hunter, NY, USA","""Mountain Jam"" Hunter Mountain",Hunter,NY,USA,False,,,"{1: 'with Immigrant Song (Led Zeppelin) intro', 2: 'with Roundabout (Yes) tease'}",1,9
05-31-2008-Cleveland-3-15,05-31-2008,"House of Blues, Cleveland, OH, USA",House of Blues,Cleveland,OH,USA,False,,,{1: 'with Home and Glide (both The New Deal) jams'},3,15
06-05-2008-Grand_Rapids-3-14,06-05-2008,"The Intersection, Grand Rapids, MI, USA",The Intersection,Grand Rapids,MI,USA,False,,,"{1: 'with Syncopated Strangers teases', 2: 'with The Triple Wide tease in intro, and with The Woody Woodpecker Song (Tibbles/Idriss) tease'}",3,14
06-06-2008-Detroit-3-16,06-06-2008,"St. Andrews Hall, Detroit, MI, USA",St. Andrews Hall,Detroit,MI,USA,False,,,"{1: ""with Ain't Talkin' 'Bout Love, Hot For Teacher, Mean Street, and Eruption (Van Halen) teases in intro"", 2: 'incomplete'}",3,16
06-07-2008-Detroit-3-18,06-07-2008,"St. Andrews Hall, Detroit, MI, USA",St. Andrews Hall,Detroit,MI,USA,False,,['last America the Beautiful 07.04.2004 (512 shows)'],"{1: 'Ryan solo', 2: ""with Xxplosive (Dr. Dre), Ain't No Fun (If the Homies Can't Have None) (Snoop Dogg), Regulate (Warren G) and Lose Yourself (Eminem) teases"", 3: '""lounge version""'}",3,18
06-13-2008-Manchester-1-10,06-13-2008,"Bonnaroo Music & Arts Festival, Manchester, TN, USA",Bonnaroo Music & Arts Festival,Manchester,TN,USA,False,,['Which Stage'],"{1: 'unfinished', 2: 'with Jeff Coffin on saxophone'}",1,10
06-13-2008-Manchester-2-5,06-13-2008,"Bonnaroo Music & Arts Festival, Manchester, TN, USA",Bonnaroo Music & Arts Festival,Manchester,TN,USA,False,,['Sonic Stage'],{},2,5
07-05-2008-Sioux_City-1-10,07-05-2008,"Saturday In the Park, Sioux City, IA, USA",Saturday In the Park,Sioux City,IA,USA,False,,['Supporting Phil Lesh and Friends'],{1: 'with Third Stone from the Sun (Jimi Hendrix) jam'},1,10
07-06-2008-Apple_Valley-3-16,07-06-2008,"Weesner Family Amphitheater, Minnesota Zoo, Apple Valley, MN, USA","Weesner Family Amphitheater, Minnesota Zoo",Apple Valley,MN,USA,False,,,"{1: 'unfinished', 2: 'unfinished; with Jake on keys'}",3,16
07-10-2008-Madison-1-6,07-10-2008,"Willow Island at Alliant Energy Center, Madison, WI, USA",Willow Island at Alliant Energy Center,Madison,WI,USA,False,,['Sound Tribe Sector 9 opened'],{1: 'with Crazy Train (Ozzy Osbourne) teases'},1,6
